date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2026-06-25,United States,Turkey,,,FIFA World Cup,Inglewood,United States,False
2026-06-25,Paraguay,Australia,,,FIFA World Cup,Santa Clara,United States,True
2026-06-25,Curaçao,Ivory Coast,,,FIFA World Cup,Philadelphia,United States,True
2026-06-25,Ecuador,Germany,,,FIFA World Cup,East Rutherford,United States,True
2026-06-25,Japan,Sweden,,,FIFA World Cup,Arlington,United States,True
2026-06-25,Tunisia,Netherlands,,,FIFA World Cup,Kansas City,United States,True
2026-06-26,Egypt,Iran,,,FIFA World Cup,Seattle,United States,True
2026-06-26,New Zealand,Belgium,,,FIFA World Cup,Vancouver,Canada,True
2026-06-26,Cape Verde,Saudi Arabia,,,FIFA World Cup,Houston,United States,True
2026-06-26,Uruguay,Spain,,,FIFA World Cup,Zapopan,Mexico,True
2026-06-26,Norway,France,,,FIFA World Cup,Foxborough,United States,True
2026-06-26,Senegal,Iraq,,,FIFA World Cup,Toronto,Canada,True
2026-06-27,Algeria,Austria,,,FIFA World Cup,Kansas City,United States,True
2026-06-27,Jordan,Argentina,,,FIFA World Cup,Arlington,United States,True
2026-06-27,Colombia,Portugal,,,FIFA World Cup,Miami Gardens,United States,True
2026-06-27,DR Congo,Uzbekistan,,,FIFA World Cup,Atlanta,United States,True
2026-06-27,Panama,England,,,FIFA World Cup,East Rutherford,United States,True
2026-06-27,Croatia,Ghana,,,FIFA World Cup,Philadelphia,United States,True
