team,elo,fifa_rank,elo_official,form5_points,form5_gf,form5_ga,form5_gd,form5_win_rate,form5_matches,form10_points,form10_gf,form10_ga,form10_gd,form10_win_rate,form10_matches,avg_overall,max_overall,total_market_value,avg_market_value,avg_caps,shootout_played,shootout_won,shootout_win_rate
Mexico,1959.7,14,1810.0,10,1.2,0.2,1.0,0.6,5,20,1.1,0.4,0.7,0.6,10,73.7,80.0,191850000.0,7378846.153846154,47.57692307692308,14,7,0.5
South Africa,1733.3,60,1620.0,7,1.2,1.4,-0.2,0.4,5,15,1.2,1.0,0.2,0.4,10,66.3,73.0,47700000.0,1834615.3846153845,20.692307692307693,28,13,0.464
South Korea,1766.4,22,1800.0,9,1.6,0.6,1.0,0.6,5,18,1.7,0.9,0.8,0.5,10,75.8,85.0,139050000.0,5348076.923076923,37.46153846153846,25,15,0.6
Czech Republic,1641.4,40,1740.0,3,1.2,2.0,-0.8,0.0,5,10,1.6,1.7,-0.1,0.2,10,76.9,85.0,188175000.0,7237500.0,28.384615384615383,4,3,0.75
Canada,1774.4,33,1795.0,5,2.0,1.4,0.6,0.2,5,10,1.3,1.2,0.1,0.2,10,75.7,84.0,196350000.0,7551923.076923077,37.42307692307692,8,3,0.375
Bosnia and Herzegovina,1697.8,64,1645.0,6,1.4,1.6,-0.2,0.2,5,14,2.0,1.4,0.6,0.3,10,75.1,81.0,146400000.0,5630769.230769231,23.57692307692308,4,3,0.75
Qatar,1524.1,56,1600.0,5,0.8,2.2,-1.4,0.2,5,11,1.1,2.3,-1.2,0.3,10,75.0,80.0,19925000.0,766346.1538461539,61.0,9,5,0.556
Switzerland,1976.0,19,1860.0,11,2.4,1.0,1.4,0.6,5,21,2.3,0.8,1.5,0.6,10,80.2,87.0,332500000.0,12788461.538461538,44.15384615384615,8,2,0.25
Brazil,2080.1,6,2030.0,10,2.0,0.4,1.6,0.6,5,18,1.5,0.8,0.7,0.5,10,85.3,89.0,928200000.0,35700000.0,35.84615384615385,16,9,0.562
Morocco,2039.5,7,1920.0,11,1.8,0.6,1.2,0.6,5,24,1.8,0.4,1.4,0.7,10,79.9,89.0,447700000.0,17219230.769230768,27.807692307692307,14,6,0.429
Haiti,1594.3,83,1530.0,6,1.0,1.6,-0.6,0.4,5,11,1.2,1.9,-0.7,0.3,10,65.4,72.0,54850000.0,2109615.3846153845,24.73076923076923,2,1,0.5
Scotland,1777.8,39,1720.0,6,1.4,1.8,-0.4,0.4,5,16,1.4,1.4,0.0,0.5,10,77.4,85.0,128650000.0,4948076.923076923,38.03846153846154,2,2,1.0
United States,2013.2,17,1850.0,9,1.8,0.8,1.0,0.6,5,14,1.2,1.0,0.2,0.4,10,78.4,84.0,362650000.0,13948076.923076924,37.57692307692308,10,6,0.6
Paraguay,1886.6,54,1725.0,7,0.6,1.0,-0.4,0.4,5,18,1.2,1.0,0.2,0.5,10,74.9,79.0,153150000.0,5890384.615384615,27.115384615384617,13,6,0.462
Australia,1911.6,27,1790.0,12,1.4,0.6,0.8,0.8,5,21,1.8,0.8,1.0,0.6,10,71.6,75.0,80750000.0,3105769.230769231,28.884615384615383,8,5,0.625
Türkiye,1500.0,26,1780.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,75.0,80.0,473700000.0,18219230.769230768,38.03846153846154,0,0,0.5
Germany,2032.2,10,1970.0,15,3.6,0.4,3.2,1.0,5,21,2.6,0.9,1.7,0.7,10,84.8,89.0,947000000.0,36423076.92307692,33.07692307692308,8,6,0.75
Curaçao,1672.5,82,1520.0,6,1.8,1.6,0.2,0.2,5,19,2.3,1.1,1.2,0.5,10,64.6,71.0,31400000.0,1207692.3076923075,24.423076923076923,2,0,0.0
Ivory Coast,1848.5,38,1750.0,9,2.0,1.4,0.6,0.6,5,20,2.2,0.8,1.4,0.6,10,78.7,81.0,523500000.0,20134615.384615384,27.76923076923077,18,10,0.556
Ecuador,1882.5,23,1870.0,6,0.2,0.2,0.0,0.2,5,17,0.8,0.2,0.6,0.4,10,75.8,87.0,363750000.0,13990384.615384616,30.192307692307693,4,2,0.5
Netherlands,2037.2,8,1980.0,11,3.2,0.8,2.4,0.6,5,24,3.4,0.7,2.7,0.7,10,83.9,90.0,754200000.0,29007692.307692308,33.73076923076923,10,2,0.2
Japan,1974.9,18,1880.0,8,2.4,0.6,1.8,0.4,5,21,2.4,0.5,1.9,0.6,10,78.5,82.0,270850000.0,10417307.692307692,31.653846153846157,12,5,0.417
Sweden,1739.3,25,1815.0,10,2.6,2.0,0.6,0.6,5,11,1.6,2.1,-0.5,0.3,10,79.1,88.0,406075000.0,15618269.23076923,20.423076923076923,6,4,0.667
Tunisia,1555.3,45,1710.0,2,1.0,2.8,-1.8,0.0,5,17,2.1,1.5,0.6,0.5,10,71.7,80.0,66000000.0,2538461.5384615385,22.923076923076923,13,7,0.538
Belgium,1839.8,9,1950.0,9,2.6,0.8,1.8,0.4,5,20,3.0,0.8,2.2,0.5,10,82.7,89.0,547500000.0,21057692.307692308,42.34615384615385,2,2,1.0
Egypt,1950.1,36,1730.0,8,1.4,1.0,0.4,0.4,5,21,1.4,0.7,0.7,0.6,10,72.7,91.0,110100000.0,4234615.384615385,32.57692307692308,26,15,0.577
Iran,1875.2,20,1820.0,6,1.4,1.0,0.4,0.2,5,19,1.9,1.0,0.9,0.5,10,71.0,78.0,30550000.0,1175000.0,45.80769230769231,23,10,0.435
New Zealand,1784.8,85,1510.0,10,4.2,1.0,3.2,0.6,5,22,3.8,0.7,3.1,0.7,10,69.9,82.0,32100000.0,1234615.3846153845,32.61538461538461,4,1,0.25
Spain,2219.8,2,2120.0,11,2.8,0.4,2.4,0.6,5,24,3.2,0.8,2.4,0.7,10,85.8,90.0,1222800000.0,47030769.23076923,29.153846153846157,14,7,0.5
Cape Verde,1820.6,67,1640.0,9,1.8,1.0,0.8,0.4,5,21,1.6,1.0,0.6,0.6,10,75.0,80.0,52225000.0,2008653.8461538465,32.34615384615385,5,2,0.4
Saudi Arabia,1727.7,58,1660.0,5,1.0,1.8,-0.8,0.2,5,13,0.8,1.1,-0.3,0.3,10,72.5,82.0,40900000.0,1573076.923076923,36.26923076923077,9,7,0.778
Uruguay,1891.5,16,1960.0,9,1.6,0.6,1.0,0.4,5,14,1.2,0.9,0.3,0.3,10,80.3,89.0,359300000.0,13819230.76923077,36.26923076923077,17,9,0.529
France,2173.2,3,2100.0,13,3.0,0.8,2.2,0.8,5,25,2.8,1.0,1.8,0.8,10,86.1,91.0,1523000000.0,58576923.07692308,31.384615384615383,11,5,0.455
Senegal,1830.3,15,1840.0,6,1.0,1.8,-0.8,0.4,5,19,1.9,1.1,0.8,0.6,10,79.0,83.0,478100000.0,18388461.53846154,39.69230769230769,21,11,0.524
Iraq,1723.3,55,1630.0,7,1.2,2.0,-0.8,0.4,5,14,0.9,1.4,-0.5,0.4,10,65.9,72.0,21200000.0,815384.6153846154,32.5,15,11,0.733
Norway,2081.2,44,1775.0,15,4.0,1.0,3.0,1.0,5,30,4.4,0.8,3.6,1.0,10,78.9,90.0,589900000.0,22688461.53846154,31.423076923076923,0,0,0.5
Argentina,2207.0,1,2150.0,10,1.8,0.4,1.4,0.6,5,22,1.7,0.5,1.2,0.7,10,84.1,88.0,807500000.0,31057692.307692308,48.73076923076923,23,15,0.652
Algeria,1802.6,28,1760.0,9,1.2,1.4,-0.2,0.6,5,22,1.5,0.8,0.7,0.7,10,78.1,84.0,249450000.0,9594230.76923077,30.5,15,7,0.467
Austria,1846.0,24,1830.0,7,1.2,1.0,0.2,0.4,5,22,2.5,0.7,1.8,0.7,10,78.3,82.0,244600000.0,9407692.307692308,39.23076923076923,2,0,0.0
Jordan,1631.4,63,1610.0,4,1.2,1.4,-0.2,0.2,5,12,1.4,1.1,0.3,0.3,10,75.0,75.0,25950000.0,998076.9230769232,41.5,3,0,0.0
Portugal,2018.8,5,2010.0,8,3.4,1.2,2.2,0.4,5,21,3.0,1.1,1.9,0.6,10,84.5,89.0,1005500000.0,38673076.92307692,45.23076923076923,8,5,0.625
DR Congo,1797.1,61,1670.0,7,1.0,0.6,0.4,0.4,5,18,1.0,0.5,0.5,0.5,10,74.9,82.0,147400000.0,5669230.769230769,31.0,8,5,0.625
Uzbekistan,1718.1,50,1650.0,5,1.2,2.0,-0.8,0.2,5,15,1.1,1.3,-0.2,0.4,10,70.5,77.0,85125000.0,3274038.461538461,37.38461538461539,5,2,0.4
Colombia,2100.8,13,1990.0,13,2.8,1.0,1.8,0.8,5,15,1.9,1.3,0.6,0.4,10,79.0,85.0,302350000.0,11628846.153846154,40.73076923076923,12,7,0.583
England,2130.5,4,2050.0,13,2.6,0.4,2.2,0.8,5,28,2.6,0.2,2.4,0.9,10,85.2,90.0,1358200000.0,52238461.538461536,32.80769230769231,12,4,0.333
Croatia,1926.8,11,1940.0,12,2.4,1.4,1.0,0.8,5,25,2.9,0.8,2.1,0.8,10,80.3,84.0,387300000.0,14896153.846153846,45.23076923076923,11,7,0.636
Ghana,1826.4,49,1690.0,13,1.6,0.0,1.6,0.8,5,26,2.3,0.5,1.8,0.8,10,76.8,83.0,233350000.0,8975000.0,22.5,13,5,0.385
Panama,1689.6,34,1680.0,7,1.4,1.0,0.4,0.4,5,18,1.4,0.6,0.8,0.5,10,68.3,76.0,34575000.0,1329807.6923076925,59.84615384615385,7,5,0.714
